,Country,gdp_2000,gdp_2015,growth_rate
0,Chile,77860932152.0,242518000000.0,2.1147584969385766
1,China,1211350000000.0,11064700000000.0,8.134189127832583
2,Germany,1949950000000.0,3375610000000.0,0.7311264391394651
3,Mexico,683648000000.0,1152260000000.0,0.6854580134806216
4,United States of America,10300000000000.0,18100000000000.0,0.7572815533980582
5,Zimbabwe,6689957600.0,16304667807.0,1.437185522222144
